fichier,species,t_start,t_end,duration,mean_confidence
sequence_27.wav,Baleine à bosse,9.25,13.5,4.25,0.882
sequence_27.wav,Béluga,27.75,29.75,2.0,0.873
sequence_27.wav,Béluga,41.75,43.75,2.0,0.559
sequence_27.wav,Baleine à bosse,60.74,64.99,4.25,0.822
sequence_27.wav,Baleine à bosse,74.99,76.99,2.0,0.941
sequence_27.wav,Béluga,82.99,84.99,2.0,0.918
sequence_27.wav,Baleine à bosse,117.24,119.24,2.0,0.633
sequence_27.wav,Baleine à bosse,155.24,157.24,2.0,0.963
sequence_27.wav,Béluga,191.98,193.98,2.0,0.95
sequence_27.wav,Béluga,232.48,234.48,2.0,0.682
