fichier,species,t_start,t_end,duration,mean_confidence
sequence_15.wav,Baleine à bosse,21.5,25.5,4.0,0.761
sequence_15.wav,Baleine à bosse,33.5,37.5,4.0,0.692
sequence_15.wav,Baleine à bosse,54.0,58.0,4.0,0.724
sequence_15.wav,Baleine à bosse,64.0,66.5,2.5,0.747
sequence_15.wav,Baleine à bosse,108.5,115.0,6.5,0.71
sequence_15.wav,Baleine à bosse,118.5,122.0,3.5,0.693
sequence_15.wav,Béluga,151.5,155.0,3.5,0.665
sequence_15.wav,Baleine à bosse,162.0,166.0,4.0,0.662
sequence_15.wav,Baleine à bosse,168.0,170.0,2.0,0.67
sequence_15.wav,Baleine à bosse,178.5,183.0,4.5,0.681
sequence_15.wav,Baleine à bosse,209.0,211.0,2.0,0.688
