fichier,species,t_start,t_end,duration,mean_confidence
sequence_16.wav,Baleine à bosse,13.5,17.5,4.0,0.745
sequence_16.wav,Baleine à bosse,24.5,28.5,4.0,0.706
sequence_16.wav,Baleine à bosse,75.5,80.0,4.5,0.665
sequence_16.wav,Baleine à bosse,171.5,175.0,3.5,0.635
sequence_16.wav,Baleine à bosse,191.0,198.0,7.0,0.664
sequence_16.wav,Baleine à bosse,216.0,220.5,4.5,0.703
sequence_16.wav,Baleine à bosse,228.5,234.0,5.5,0.685
sequence_16.wav,Baleine à bosse,246.0,251.0,5.0,0.678
sequence_16.wav,Baleine à bosse,263.0,267.0,4.0,0.661
sequence_16.wav,Baleine à bosse,271.5,273.5,2.0,0.636
