fichier,species,t_start,t_end,duration,mean_confidence
sequence_06.wav,Béluga,26.25,30.5,4.25,0.874
sequence_06.wav,Baleine à bosse,30.75,34.75,4.0,0.626
sequence_06.wav,Béluga,60.74,63.74,3.0,0.771
sequence_06.wav,Baleine à bosse,78.74,81.49,2.75,0.654
sequence_06.wav,Béluga,136.49,138.74,2.25,0.791
sequence_06.wav,Béluga,176.98,178.48,1.5,0.733
sequence_06.wav,Baleine à bosse,181.73,185.48,3.75,0.619
sequence_06.wav,Baleine à bosse,186.73,188.23,1.5,0.618
sequence_06.wav,Baleine à bosse,220.98,225.73,4.75,0.618
sequence_06.wav,Baleine à bosse,229.98,233.73,3.75,0.606
